
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-07-18;21.114,23;682194012262;22.555,28;657754863286;20.080,46;882112502468;36.658,72;81989688103;21.081,21;695413560011
2009-07-19;21.114,23;682194012262;22.555,28;657754863286;20.080,46;882112502468;36.658,72;81989688103;21.081,21;695413560011
2009-07-20;21.122,47;681425283672;22.569,68;657698821279;20.090,26;880995533589;36.663,33;81949705506;21.087,73;696875316727
2009-07-21;21.129,49;680058919216;22.576,82;655719618305;20.084,35;879762258925;36.641,17;81721363957;21.082,97;695238693248
2009-07-22;21.103,33;675523725470;22.560,02;652496646249;20.062,22;875438720665;36.638,85;81495531849;21.071,46;693683478999
2009-07-23;21.127,92;674035085309;22.570,96;651395814849;20.090,40;873172157647;36.671,42;81443636075;21.085,69;693311330405
2009-07-24;21.142,56;672129009146;22.584,08;650305329715;20.092,40;870057349432;36.682,38;81290157677;21.093,76;691149452270
2009-07-25;21.142,56;672129009146;22.584,08;650305329715;20.092,40;870057349432;36.682,38;81290157677;21.093,76;691149452270
2009-07-26;21.142,56;672129009146;22.584,08;650305329715;20.092,40;870057349432;36.682,38;81290157677;21.093,76;691149452270
2009-07-27;21.131,34;670576042817;22.578,75;647018383233;20.080,85;866765586129;36.661,08;81131694977;21.090,08;688968466864
