
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-06-07;19.349,57;4953097867790;21.852,30;3940168858722;21.234,29;5589917869736;39.838,97;799040273119;19.344,79;7483020419070
2009-06-08;19.396,32;4967194113943;21.898,03;3950816290936;21.252,64;5598638584386;39.922,53;800597764590;19.391,16;7501508645131
2009-06-09;19.343,64;4954999884266;21.842,87;3943318767864;21.196,64;5586489694176;39.841,57;799036628242;19.345,31;7485780854652
2009-06-10;19.374,29;4963997156857;21.869,53;3949995232645;21.229,68;5599524897633;39.882,47;799976065107;19.365,74;7495146021585
2009-06-11;19.454,90;4986938364116;21.976,06;3969223085776;21.320,72;5624967423087;40.021,51;802761165551;19.451,36;7528748806177
2009-06-12;19.525,97;5005966220983;22.074,87;3990587732602;21.405,73;5652202573967;40.157,20;805812421778;19.522,94;7558646561310
2009-06-13;19.525,97;5005966220983;22.074,87;3990587732602;21.405,73;5652202573967;40.157,20;805812421778;19.522,94;7558646561310
2009-06-14;19.525,97;5005966220983;22.074,87;3990587732602;21.405,73;5652202573967;40.157,20;805812421778;19.522,94;7558646561310
2009-06-15;19.549,57;5019062619227;22.084,21;3997891325356;21.416,49;5661078598933;40.205,54;804059470985;19.538,69;7574249352627
2009-06-16;19.454,12;4996933670822;21.963,51;3979498612632;21.289,31;5632022673030;40.009,16;802479199924;19.430,50;7533830383729
2009-06-17;19.377,57;4980609898688;21.905,09;3971948252470;21.201,66;5613143200718;39.846,23;800038977120;19.359,55;7505497830513
2009-06-18;19.236,89;4944797918729;21.760,04;3948467506001;21.057,01;5580046311034;39.588,31;794740992596;19.221,08;7456985491639
2009-06-19;19.158,98;4926768280857;21.699,40;3938828922366;20.993,22;5568257912461;39.487,49;792791334641;19.162,06;7433636618169
2009-06-20;19.158,98;4926768280857;21.699,40;3938828922366;20.993,22;5568257912461;39.487,49;792791334641;19.162,06;7433636618169
2009-06-21;19.158,98;4926768280857;21.699,40;3938828922366;20.993,22;5568257912461;39.487,49;792791334641;19.162,06;7433636618169
2009-06-22;19.210,90;4939960559434;21.755,36;3950670612047;21.058,08;5586582116972;39.592,47;794918475929;19.215,06;7454652441517
2009-06-23;19.075,98;4906700288573;21.595,70;3921574928372;20.887,70;5542834756447;39.319,09;789500667659;19.072,49;7400428249655
2009-06-24;19.015,09;4891960941206;21.538,36;3912016294887;20.820,63;5526096291805;39.202,31;787133899351;19.011,36;7375367579521
2009-06-25;19.032,30;4896226184018;21.569,00;3919376547150;20.865,41;5539756149194;39.261,31;788359046535;19.043,30;7388711553459
