fecha,fondo,administradora,valor cuota,valor patrimonio
2020-02-24,A,CUPRUM,54304.53,5397552372598.0
2020-02-24,A,HABITAT,55248.47,6376895147890.0
2020-02-24,A,MODELO,53535.41,1290772065320.0
2020-02-24,A,PLANVITAL,50385.04,552927476786.0
2020-02-24,A,PROVIDA,54207.49,4506554647694.0
2020-02-24,A,UNO,55492.11,16563153967.0
2020-02-25,A,CAPITAL,50711.8,4306162104514.0
2020-02-25,A,CUPRUM,53145.0,5286422874431.0
2020-02-25,A,HABITAT,54093.05,6247647929290.0
2020-02-25,A,MODELO,52379.19,1263520853582.0
2020-02-25,A,PLANVITAL,49308.36,541406209028.0
2020-02-25,A,PROVIDA,53065.26,4413559937135.0
2020-02-25,A,UNO,54321.27,16175673970.0
2020-02-26,A,CAPITAL,50179.55,4278076538580.0
2020-02-26,A,CUPRUM,52600.19,5233730439781.0
2020-02-26,A,HABITAT,53534.98,6185467054224.0
2020-02-26,A,MODELO,51831.75,1250577816833.0
2020-02-26,A,PLANVITAL,48804.83,536056874534.0
2020-02-26,A,PROVIDA,52527.55,4369460953369.0
2020-02-26,A,UNO,53713.41,16049341455.0
2020-02-27,A,CAPITAL,49784.34,4251884367001.0
2020-02-27,A,CUPRUM,52150.58,5190818455183.0
2020-02-27,A,HABITAT,53052.0,6130409862786.0
2020-02-27,A,MODELO,51351.44,1239768240146.0
2020-02-27,A,PLANVITAL,48378.69,531415962125.0
2020-02-27,A,PROVIDA,52092.73,4334029089997.0
2020-02-27,A,UNO,53428.36,15878511954.0
2020-02-28,A,CAPITAL,48948.36,4154769009921.0
2020-02-28,A,CUPRUM,51259.35,5070480118492.0
2020-02-28,A,HABITAT,52165.07,5974284459766.0
2020-02-28,A,MODELO,50441.77,1212582782907.0
2020-02-28,A,PLANVITAL,47585.3,520449216244.0
2020-02-28,A,PROVIDA,51231.92,4243872493833.0
2020-02-28,A,UNO,52623.85,15553410119.0
2020-02-29,A,CAPITAL,48948.36,4154769009921.0
2020-02-29,A,CUPRUM,51259.35,5070480118492.0
2020-02-29,A,HABITAT,52165.07,5974284459766.0
2020-02-29,A,MODELO,50441.77,1212582782907.0
2020-02-29,A,PLANVITAL,47585.3,520449216244.0
2020-02-29,A,PROVIDA,51231.92,4243872493833.0
2020-02-29,A,UNO,52623.85,15553410119.0
2020-03-01,A,CAPITAL,48948.36,4154769009921.0
2020-03-01,A,CUPRUM,51259.35,5070480118492.0
2020-03-01,A,HABITAT,52165.07,5974284459766.0
2020-03-01,A,MODELO,50441.77,1212582782907.0
2020-03-01,A,PLANVITAL,47585.3,520449216244.0
2020-03-01,A,PROVIDA,51231.92,4243872493833.0
2020-03-01,A,UNO,52623.85,15553410119.0
2020-03-02,A,CAPITAL,48307.16,4091784726369.0
2020-03-02,A,CUPRUM,50540.1,4989491151961.0
2020-03-02,A,HABITAT,51444.84,5878673296820.0
2020-03-02,A,MODELO,49711.0,1190544497994.0
2020-03-02,A,PLANVITAL,46945.28,520217277463.0
2020-03-02,A,PROVIDA,50480.51,4177001084217.0
2020-03-02,A,UNO,52003.31,15844023935.0
2020-03-03,A,CAPITAL,49059.72,4133325744756.0
2020-03-03,A,CUPRUM,51275.32,5054191502892.0
2020-03-03,A,HABITAT,52271.55,5968308913837.0
2020-03-03,A,MODELO,50467.42,1207282720121.0
2020-03-03,A,PLANVITAL,47626.94,527328917597.0
2020-03-03,A,PROVIDA,51246.43,4239003479280.0
2020-03-03,A,UNO,52644.72,16053937729.0
2020-03-04,A,CAPITAL,48875.99,4106136563175.0
2020-03-04,A,CUPRUM,51118.17,5036883654617.0
2020-03-04,A,HABITAT,52098.72,5932171417744.0
2020-03-04,A,MODELO,50264.4,1200378428334.0
2020-03-04,A,PLANVITAL,47467.55,524833246163.0
2020-03-04,A,PROVIDA,51112.78,4226457226540.0
2020-03-04,A,UNO,52272.19,15913773355.0
2020-03-05,A,CAPITAL,49505.93,4119250469182.0
2020-03-05,A,CUPRUM,51762.97,5072931530323.0
2020-03-05,A,HABITAT,52751.96,5969909006309.0
2020-03-05,A,MODELO,50955.05,1212693753009.0
2020-03-05,A,PLANVITAL,48078.37,530946157139.0
2020-03-05,A,PROVIDA,51731.8,4267345372885.0
2020-03-05,A,UNO,53020.87,15897109138.0
2020-03-06,A,CAPITAL,49443.34,4097944945029.0
2020-03-06,A,CUPRUM,51722.26,5045057781904.0
2020-03-06,A,HABITAT,52731.21,5948053683724.0
2020-03-06,A,MODELO,50863.98,1207498865662.0
2020-03-06,A,PLANVITAL,48037.43,529969740349.0
2020-03-06,A,PROVIDA,51666.05,4254543321796.0
2020-03-06,A,UNO,53049.78,15873001748.0
2020-03-07,A,CAPITAL,49443.34,4097944945029.0
2020-03-07,A,CUPRUM,51722.26,5045057781904.0
2020-03-07,A,HABITAT,52731.21,5948053683724.0
2020-03-07,A,MODELO,50863.98,1207498865662.0
2020-03-07,A,PLANVITAL,48037.43,529969740349.0
2020-03-07,A,PROVIDA,51666.05,4254543321796.0
2020-03-07,A,UNO,53049.78,15873001748.0
2020-03-08,A,CAPITAL,49443.34,4097944945029.0
2020-03-08,A,CUPRUM,51722.26,5045057781904.0
2020-03-08,A,HABITAT,52731.21,5948053683724.0
2020-03-08,A,MODELO,50863.98,1207498865662.0
2020-03-08,A,PLANVITAL,48037.43,529969740349.0
2020-03-08,A,PROVIDA,51666.05,4254543321796.0
2020-03-08,A,UNO,53049.78,15873001748.0
2020-03-09,A,CAPITAL,48704.83,4019591837696.0
2020-03-09,A,CUPRUM,50926.72,4944207304777.0
2020-03-09,A,HABITAT,51912.21,5824650324948.0
2020-03-09,A,MODELO,50021.91,1180000409614.0
2020-03-09,A,PLANVITAL,47316.63,520630992755.0
2020-03-09,A,PROVIDA,50861.97,4178091958560.0
2020-03-09,A,UNO,52413.85,15773209341.0
2020-03-10,A,CAPITAL,46607.24,3834541672535.0
2020-03-10,A,CUPRUM,48880.52,4731400465673.0
2020-03-10,A,HABITAT,49800.91,5556013146052.0
2020-03-10,A,MODELO,47854.16,1124349935849.0
2020-03-10,A,PLANVITAL,45395.55,498805734402.0
2020-03-10,A,PROVIDA,48763.4,3996726382244.0
2020-03-10,A,UNO,50415.03,15015924715.0
2020-03-11,A,CAPITAL,47089.79,3874278017935.0
2020-03-11,A,CUPRUM,49240.04,4760055926888.0
2020-03-11,A,HABITAT,50215.53,5600473626500.0
2020-03-11,A,MODELO,48269.09,1133725544161.0
